relid,holdingid,companyid
1,1,330
2,1,688
3,1,2033
4,2,330
5,2,688
6,2,2033
7,2,4758
8,3,330
9,3,688
10,3,2033
11,3,6478
12,4,2388
13,4,3886
14,4,4741
15,5,5104
16,5,5088
17,5,2040
18,6,47
19,6,1871
20,7,945
21,7,3244
22,7,7109
23,7,7173
24,7,7174
25,8,13
26,8,1897
27,8,300
28,8,7272
29,8,327
30,9,4721
31,9,7953
32,9,8157
33,9,9678
34,9,8159
35,10,1056
36,10,2189
37,10,2249
38,10,2789
39,10,4036
40,10,4194
41,10,4794
42,10,7518
43,10,7766
44,10,8516
45,10,8517
46,10,8518
47,10,8519
48,10,8520
49,10,8521
50,10,8522
51,11,1141
52,11,3417
53,11,780
54,11,1726
55,11,8590
56,11,8591
57,11,8592
58,11,8593
59,11,8594
60,11,615
61,11,263
62,11,8595
63,11,8596
64,11,8597
65,11,2990
66,11,5909
67,11,8598
68,11,8599
69,11,8600
70,12,615
71,12,263
72,13,8587
73,13,8588
74,13,4957
75,14,975
76,14,6284
77,14,8543
78,14,8541
79,15,6536
80,15,9387
81,16,9483
82,16,9966
83,16,10433
84,16,9984
85,16,9964
89,18,217
90,18,2194
91,18,2788
92,18,2904
93,18,3340
94,18,3810
95,18,5379
96,18,5679
97,18,6070
98,18,6807
99,18,9166
100,18,10053
101,18,10291
102,18,10292
103,18,10293
104,19,10279
105,19,10509
106,20,6536
107,20,9387
108,21,8333
109,21,10348
110,21,10349
111,21,10351
112,21,10629
113,21,10632
114,21,10633
115,22,871
116,22,2166
117,22,2487
118,23,674
119,23,1222
120,23,1822
121,23,3129
122,23,5842
123,23,10679
124,24,1211
125,24,3932
126,22,871
127,22,2166
128,22,2487
129,25,8025
130,25,10932
131,25,3280
132,25,10933
133,25,10934
134,19,3767
135,19,10906
136,19,10909
137,19,518
138,27,2940
139,27,4957
140,27,5486
168,28,780
169,28,8590
170,28,8594
171,28,615
172,28,1726
173,28,8596
174,28,8592
175,28,8595
176,28,8591
177,28,8597
178,28,3417
179,28,263
180,28,8593
181,28,2990
182,28,5909
183,28,1141
184,28,8600
185,28,8598
186,28,8599
217,30,9792
218,30,9795
219,30,11393
220,31,11619
221,31,11620
222,31,11621
223,31,11622
224,31,11623
225,31,8077
226,31,11625
227,31,11626
228,32,78
229,32,122
230,32,938
231,32,1253
232,32,1391
233,32,7955
234,32,11358
235,32,11834
236,33,11961
237,33,5503
238,34,10550
239,34,6867
240,34,8008
241,34,848
242,34,12004
243,34,7507
244,34,8473
245,34,10358
246,34,7217
247,34,8195
248,34,7070
249,34,822
250,34,20
251,34,430
252,34,1268
253,34,12005
254,34,1301
255,34,1928
256,34,12006
257,34,12007
258,34,12008
259,34,7404
260,34,10538
261,34,12009
262,34,11153
263,35,11376
264,35,7203
265,36,1107
266,36,3409
267,36,12230
268,37,557
269,37,591
270,37,1051
271,37,2876
272,37,3822
273,37,5033
274,38,3819
275,38,6188
276,39,196
277,39,659
278,39,1561
279,39,2381
280,39,4317
281,39,8269
282,39,10640
283,39,11669
286,39,12343
287,40,210
288,40,10299
289,40,12065
290,40,12508
291,41,2032
292,41,3793
293,41,12611
294,41,12613
296,42,621
297,43,12702
298,43,12703
299,44,4480
300,44,12844
301,45,3005
302,45,12860
304,46,453
305,46,5051
306,46,804
307,46,3607
308,46,13034
309,47,330
310,47,688
311,47,6478
312,47,13237
313,48,3348
314,48,3599
315,48,9806
316,48,9809
317,49,3051
318,49,3163
319,49,8510
320,50,3348
321,50,3599
322,50,9806
323,50,9809
324,9,8158
325,51,1138
326,51,2925
327,51,13510
328,51,13512
329,52,513
330,52,1309
331,53,4872
332,53,10021
333,53,3121
335,54,6502
337,54,6245
339,55,50
340,55,206
341,55,8152
342,55,9352
343,55,14009
344,56,496
345,56,773
346,56,810
347,56,3348
348,56,3599
349,56,9806
350,56,9809
358,57,579
359,57,3534
360,57,13588
361,57,14012
362,57,14013
363,57,14014
364,57,14015
365,58,3280
366,58,8025
367,58,10932
368,58,10933
369,58,10934
370,59,320
371,59,347
372,59,387
373,59,410
374,59,535
375,59,624
376,59,634
377,59,736
378,59,889
379,59,1028
380,59,1697
381,59,2587
382,59,2648
383,59,2933
384,59,3372
385,59,6063
386,59,6136
387,59,7276
388,59,7408
389,59,9775
390,59,9792
391,59,9795
392,59,11393
393,59,12173
394,59,14042
395,59,14043
396,59,14044
397,59,14045
398,59,14046
399,59,14047
400,59,14048
401,59,14049
402,59,14050
403,59,14051
404,59,14052
405,60,3368
406,60,9857
407,61,4912
408,61,10424
409,1,621
410,62,3661
411,62,5015
412,62,5934
413,62,14120
414,63,871
415,63,1159
416,63,1402
417,63,1947
418,63,2166
419,63,2487
420,63,3018
421,63,3946
422,63,4037
423,63,4470
424,63,4876
425,63,6369
426,63,7735
427,63,9278
428,63,9624
429,63,10367
430,63,10410
431,63,10952
432,63,12801
433,63,12802
434,63,14121
435,63,14122
436,63,14123
437,63,14124
438,63,14125
439,64,513
440,64,1309
441,65,518
442,65,3767
443,65,10279
444,65,10509
445,65,10906
446,65,10909
447,65,15309
448,65,15310
449,66,4024
450,66,12282
451,66,15403
452,66,15473
453,67,1221
454,67,10420
455,67,12084
456,67,15851
457,67,15852
458,67,15853
459,68,5339
460,68,5540
461,68,6954
462,68,8408
463,68,8832
464,68,11646
465,68,11661
466,69,7203
467,69,11376
468,70,2550
469,70,16562
470,71,7886
471,71,16269
472,72,14262
473,72,14375
474,22,4037
475,22,4876
476,22,7735
477,22,9278
478,22,9624
479,22,10952
480,22,6369
481,22,16669
482,22,12801
483,22,14124
484,22,14125
486,73,5997
488,73,6041
489,73,6115
490,73,6504
491,73,14809
492,73,14898
493,73,17605
494,73,17606
495,73,17607
496,73,17608
497,73,17604
498,73,6040
499,75,3353
500,75,3455
501,75,6573
502,75,7178
503,75,12957
504,75,13425
505,75,13550
506,75,13776
507,75,18241
508,75,18242
510,76,2897
511,76,2898
512,76,14265
513,76,14298
514,76,14370
515,76,14401
516,76,14469
517,76,14556
518,76,14562
519,76,14752
520,76,14832
521,76,15168
522,76,18259
523,77,5997
524,77,6040
525,77,6041
526,77,6115
527,77,6504
528,77,14809
529,77,14898
530,77,17604
531,77,17605
532,77,17606
533,77,17607
534,77,17608
535,78,5997
536,78,14898
537,79,10719
538,79,18620
539,79,18621
540,79,18622
541,80,3353
542,80,3455
543,80,6573
544,80,7178
545,80,12957
546,80,13425
547,80,13550
548,80,13776
549,80,18241
550,80,18242
551,81,2388
552,81,3886
554,81,16508
555,81,16510
556,81,16513
557,81,16518
558,81,16520
559,81,16522
568,81,18331
569,81,18332
570,81,18333
571,81,4741
572,82,11198
573,82,18612
574,83,4433
575,83,5419
576,83,18045
577,83,18075
578,83,19239
579,84,8524
580,84,16031
581,84,19395
582,84,19396
583,84,19397
584,84,19398
585,85,210
586,85,10299
587,85,12065
588,85,16103
589,85,16113
590,85,16839
591,85,16841
592,85,16851
593,85,17035
594,85,18781
595,85,18784
596,86,605
597,86,608
598,86,7578
599,87,5489
600,87,15132
601,87,17508
602,87,17509
603,88,674
604,88,1222
605,88,1822
606,88,3129
607,88,5842
608,88,10679
609,88,19772
610,89,9091
611,89,20504
613,90,3121
614,90,4872
615,90,6245
616,90,6502
617,90,10021
618,90,11252
619,90,13929
622,91,7433
623,91,9114
624,91,12152
625,91,14860
626,91,21082
627,91,21083
628,91,21084
629,92,3661
630,92,19086
631,92,21043
632,92,5015
633,92,21040
634,92,5934
635,93,106
636,93,1521
637,93,13489
638,93,13569
639,94,6536
640,94,9387
641,94,14312
642,94,15296
643,94,16454
644,94,16455
645,94,16617
646,94,20906
647,94,21769
648,95,557
649,95,999
650,95,17625
651,95,20063
652,95,20405
653,95,20411
654,95,20416
655,95,21145
656,95,21148
657,95,21816
658,95,21817
659,95,21818
660,96,8333
661,96,10348
662,96,10349
663,96,10351
664,96,10629
665,96,10633
666,96,10632
667,97,46
668,97,16415
669,97,18727
670,97,18728
671,97,18772
672,97,19513
673,97,21309
674,97,2785
675,97,15346
676,98,934
677,98,9807
678,98,21038
679,99,5442
680,99,2331
681,100,2893
682,100,3802
683,101,605
684,101,2193
685,101,6536
686,101,7578
687,101,9387
688,101,14312
689,101,15296
690,101,21769
691,102,21183
692,102,21187
693,102,21188
694,102,23053
696,101,9568
697,101,24752
698,103,217
699,103,2194
700,103,2788
701,103,2904
702,103,3340
703,103,3810
704,103,5379
705,103,5679
706,103,6070
707,103,6807
708,103,9166
709,103,10053
710,103,10291
711,103,10292
712,103,10293
713,103,20934
714,103,24196
715,104,6355
716,104,6356
717,104,18671
718,102,11465
719,105,25428
720,105,27256
721,105,27257
722,105,27258
723,105,27259
724,106,24385
725,106,24340
726,107,11180
727,107,14218
728,107,14219
729,107,27035
730,108,27
731,108,1120
732,109,2742
733,109,2926
734,109,2976
735,109,3126
736,109,3179
737,109,3181
738,109,3184
739,109,3425
740,110,13283
741,110,27699
742,110,27700
743,111,920
744,111,28000
745,111,28002
746,63,2698
747,63,3652
748,63,8164
749,63,26287
750,63,26941
751,63,8073
752,63,15799
753,63,19366
754,63,19436
755,63,22675
756,63,3969
757,63,6679
758,63,6807
759,63,25038
760,63,10053
761,63,10234
762,63,10683
763,63,11417
764,63,26986
766,63,6912
767,63,25451
771,63,27678
772,63,827
773,63,4586
774,63,20609
775,63,24643
778,63,2046
779,63,5047
780,63,10292
781,63,10374
782,63,21685
783,63,21829
784,63,27606
785,63,3909
786,63,4975
787,63,5574
788,63,8279
789,63,9074
790,63,12157
791,63,26288
792,63,4310
793,63,4570
794,63,6737
795,63,9302
796,63,10293
797,63,15729
798,63,217
799,63,2904
800,63,3340
801,63,20674
802,63,20934
803,63,2788
804,63,3810
805,63,5559
806,63,10750
807,63,20099
808,63,24196
809,63,2194
810,63,5679
811,63,9126
812,63,9166
813,63,10291
814,63,13544
815,63,1615
816,63,2767
817,63,3015
818,63,3646
819,63,4499
821,63,28476
822,63,28477
823,63,28478
824,63,3862
825,63,5379
826,63,6070
827,63,19314
828,63,24253
829,63,25511
830,63,28974
831,63,28975
832,63,28976
833,63,28977
834,63,28978
835,63,28980
836,63,28981
837,63,28982
838,63,28983
839,63,28984
840,63,28985
841,112,17572
842,112,19865
843,114,21362
844,114,30932
845,114,30933
846,115,13203
847,115,24623
848,115,27819
849,115,27822
850,115,28509
851,115,28511
852,115,29199
853,115,29200
854,115,29201
855,115,29202
856,115,29203
857,115,29204
858,115,29205
859,115,29206
860,115,29266
861,115,29338
862,115,29339
863,115,30302
864,115,30307
865,115,34416
866,115,34478
867,116,736
868,116,1028
869,116,2587
884,117,11128
885,117,35727
886,117,35728
887,119,608
888,119,7578
889,119,16137
890,120,1549
891,120,36141
892,120,36143
893,120,36144
894,120,36146
895,121,764
896,121,36191
897,122,2654
898,122,25659
899,123,330
901,123,688
902,123,36305
903,124,134
904,124,24736
905,124,24880
906,124,24881
907,124,24883
908,124,24886
909,124,24887
910,124,7908
911,124,11750
912,124,36109
913,125,424
914,125,804
915,125,5051
916,125,453
917,125,24855
918,125,13034
919,125,13749
920,126,330
921,126,688
922,126,33167
923,126,34900
924,126,36305
925,128,3793
926,128,2032
927,129,3320
928,129,8816
929,129,38741
930,129,38399
931,129,39240
932,129,39241
933,129,39243
934,129,39245
935,129,39244
936,129,39254
937,130,513
938,130,1309
939,131,424
940,131,453
941,131,804
942,131,2497
943,131,5051
944,131,13749
945,131,16932
946,131,40709
947,131,40711
948,132,2634
949,132,2741
950,133,9966
951,133,9964
952,133,10198
955,133,9984
956,134,11465
957,134,21187
958,134,21188
959,134,23053
960,134,41352
961,135,605
962,135,608
963,135,7578
964,129,10586
965,129,44448
966,129,43671
967,129,9852
968,129,44446
969,129,44445
970,129,30842
971,129,44447
972,136,1549
973,136,36143
974,136,36144
975,107,42360
976,107,31265
978,137,39384
979,137,40159
980,137,42410
981,137,43929
982,137,44275
983,137,44478
984,137,45596
985,137,46298
986,137,46299
987,137,46300
993,90,2005
994,140,2005
995,140,3121
996,140,4872
997,141,2005
998,142,3121
999,54,10021
1000,143,10021
1001,143,6502
1002,144,6245
1003,54,1816
1004,144,1816
1005,145,160
1006,145,244
1007,145,14280
1008,145,16914
1009,145,36218
1010,145,46308
1011,145,47488
1012,145,47489
1013,145,47490
1014,126,37704
1015,126,38412
1016,146,330
1017,146,688
1018,146,37704
1019,146,38412
1020,147,1549
1021,147,36143
1022,147,36144
1023,148,13203
1024,148,24623
1025,149,112
1026,149,164
1027,149,658
1028,149,3913
1029,149,6469
1030,149,16208
1031,149,29575
1032,149,49081
1033,134,21183
1034,134,48647
1035,150,12595
1036,150,11119
1037,150,35973
1038,150,12526
1039,150,51569
1040,151,52550
1041,151,52551
1042,151,52553
1043,151,52552
1044,151,46060
1045,151,52554
1046,151,52555
1047,151,52556
1048,151,45975
1049,151,45972
1050,151,46974
1051,151,47595
1052,151,48175
1053,151,45966
1054,151,46333
1055,151,47207
1056,151,47601
1057,151,45948
1058,151,45968
1059,151,46031
1060,151,46137
1061,151,46973
1062,151,46396
1063,151,46079
1064,151,45936
1065,151,46139
1066,151,46138
1067,151,45949
1068,151,46151
1069,151,46052
1070,151,46197
1071,151,46086
1072,151,46126
1073,151,46158
1074,151,46061
1075,151,46136
1076,151,47384
1077,151,46155
1078,151,46188
1079,151,46732
1080,151,46038
1081,151,46972
1082,151,47645
1083,151,52557
1084,151,52559
1085,151,52558
1086,152,14328
1087,152,39516
1088,153,11119
1089,153,35973
1090,153,12526
1091,153,12595
1092,154,14328
1093,154,39516
1094,155,51486
1095,155,51502
1096,117,44053
1097,156,358
1098,156,2875
1099,156,7924
1100,157,35727
1101,157,44053
1102,158,52473
1103,158,52950
1104,158,52978
1105,159,17488
1106,159,18115
1107,160,1177
1108,160,1523
1109,160,53039
1110,161,45936
1111,161,45966
1112,161,45975
1113,161,46060
1114,161,46079
1115,161,46137
1116,161,46138
1117,161,46139
1118,161,46396
1119,161,46973
1120,161,45949
1121,161,45968
1122,161,46031
1123,161,46052
1124,161,46155
1125,161,46158
1126,161,46732
1127,161,47601
1128,161,52557
1129,161,46038
1130,161,46136
1131,161,46188
1132,161,52556
1133,161,46030
1134,161,46126
1135,161,46197
1136,161,46972
1137,161,45972
1138,161,46974
1139,161,47207
1140,161,47266
1141,161,47384
1142,161,47595
1143,161,47645
1144,161,52555
1145,161,52558
1146,161,46019
1147,161,46163
1148,161,46333
1149,161,48175
1150,161,48922
1151,161,52554
1152,161,52559
1153,162,196
1154,162,659
1155,162,1561
1156,162,2381
1157,162,4317
1158,162,8269
1159,162,10640
1160,162,11669
1161,163,160
1162,163,244
1163,164,43579
1164,164,55351
1165,165,897
1166,165,52771
1167,166,51529
1168,166,36083
1169,167,9964
1170,167,9966
1171,167,9984
1172,167,10198
1173,168,55603
1174,168,55017
1175,168,55868
1176,168,55601
1177,168,55602
1178,168,55550
1179,168,55606
1180,168,55607
1181,168,50495
1182,169,14319
1183,169,10570
1184,170,56327
1185,170,56329
1186,171,50175
1187,171,50355
1188,171,56073
1189,172,45354
1190,172,45049
1191,172,48961
1192,172,47432
1193,173,36407
1194,173,42050
1195,173,48728
1196,29,275
1197,29,3280
1198,29,8025
1199,29,10933
1200,29,18880
1201,29,5104
1202,29,9244
1203,29,17514
1204,29,39519
1205,29,43978
1206,29,48901
1207,29,54288
1208,29,55505
1209,29,57117
1210,29,10932
1211,29,57223
1212,175,1554
1213,175,61
1214,175,144
1215,175,52131
1216,175,53828
1217,175,53829
1218,175,48229
1219,175,5025
1220,176,42050
1221,176,36407
1222,176,48728
1223,177,34545
1224,177,40319
1225,178,1219
1226,178,17412
1227,178,12071
1228,178,23219
1229,178,43783
1230,178,57531
1231,178,57530
1232,178,57532
1233,179,2193
1234,179,57621
1235,180,53039
1236,180,1177
1237,180,1523
1238,181,1561
1239,181,4317
1240,181,11669
1241,181,57845
1242,181,57846
1243,181,196
1244,181,659
1245,181,2381
1246,181,10640
1247,181,12343
1248,181,8269
